"Adlantis";"Adlantis"
"AdyxSdk";"adyx"
"Mojiva";"Mojiva"
"ad server adview";"adview"
"adagogo";"adagogo"
"adchina";"adchina"
"adfonic";"adfonic"
"adfox";"adfox"
"adhubs";"adhubs"
"adinside";"adinside"
"adlib_android";"adlib_android"
"admarvel";"admarvel"
"admob";"admob"
"admoda";"admoda"
"admogo";"admogo"
"admozi";"admozi"
"adtutu";"adtutu"
"aduru";"aduru"
"adwhirl";"adwhirl"
"adwo adsdk";"adwo"
"airad";"airad"
"airpush";"airpush"
"amaze";"amaze"
"appmedia";"appmedia"
"casee";"casee"
"cauly";"cauly"
"ccmedia";"ccmedia"
"cellitads";"cellitads"
"daum mobile ad";"mobilead"
"domob";"domob"
"emome hamiapps sdk";"emome"
"energysource";"energysource"
"everbadge";"everbadge"
"flurry";"flurry"
"fractalist";"fractalist"
"freewheel";"freewheel"
"glam";"glam"
"google ads";"google/ads"
"google analytics";"analytics"
"greystripe";"greystripe"
"guohead";"guohead"
"hutuchong";"hutuchong"
"iconosys";"iconosys"
"ignitevisionv";"ignitevision"
"imapp";"imapp"
"imobile";"imobile"
"inmobi";"inmobi"
"innerActive";"innerActive"
"innoace im ad";"innoace"
"jumptap";"jumptap"
"linkshare android tgad";"linkshare"
"livepoint smartad sdk";"smartad"
"madhouse";"madhouse"
"mads";"mads"
"madvertise";"madvertise"
"mdotm";"mdotm"
"medialets";"medialets"
"mediba ad sdk";"mediba"
"millennialmedia";"millennialmedia"
"mobclick";"mobclick"
"mobclix";"mobclix"
"mobfox";"mobfox"
"mobgold";"mobgold"
"moblico";"moblico"
"mobus";"mobus"
"mopub mobile ads";"mopub"
"netad";"netad"
"netmite";"netmite"
"nexage";"nexage"
"nobot";"nobot"
"nowistech";"nowistech"
"omniture";"omniture"
"oneriot";"oneriot"
"plankton";"plankton"
"pontiflex";"pontiflex"
"qriously";"qriously"
"qwapi";"qwapi"
"rhythmnewmedia";"rhythmnewmedia"
"sktelecom tad";"sktelecom"
"smaato";"smaato"
"smartadserver";"smartadserver"
"sosceo";"sosceo"
"taobao";"taobao"
"tapjoy";"tapjoy"
"transpera";"transpera"
"trickersticks";"trickersticks"
"ubermind";"ubermind"
"uplusad";"uplusad"
"vdopia";"vdopia"
"vdroid";"vdroid"
"vpon adon";"vpon"
"waps";"waps"
"wiyun";"wiyun"
"wooboo";"wooboo"
"wqmobile";"wqmobile"
"yicha android ads";"yicha"
"youmi";"youmi"
"zestadz";"zestadz"
"zetacube libzc";"zetacube"
"zumobi ad slib";"zumobi"